ass1,ass2,asstot,midsem,exam,final
10,19,29,14,24,67
9.5,19,28.5,15,35,77
10,14,24,14,26,65
10,19.5,29.5,19,49,91
10,20,30,14,38,80
9,19.5,28.5,17,46,86
10,19,29,18,54,93
3,11.5,14.5,14,23,52
10,19.5,29.5,10,31,72
4.5,18,22.5,4,19,50
9.5,18,27.5,14,34,75
8.5,16.5,25,5,26,62
10,15,25,5,0,28
9.5,19.5,29,15,42,83
9.5,17,26.5,8,18,54
4.5,9.5,14,3,18,39
2.5,17.5,20,9,31,62
0,0,0,2,1,2
10,17.5,27.5,16,32,74
1.5,8,9.5,9,18,38
10,20,30,17,49,90
7.5,18,25.5,5,27,63
10,18.5,28.5,17,40,82
7.5,15.5,23,15,25,63
9.5,20,29.5,7,15,49
5,13,18,9,24,54
9,19.5,28.5,9,28,69
10,20,30,13,31,74
6,11.5,17.5,9,30,59
5,10,15,6,18,42
7,14.5,21.5,3,15,43
10,20,30,15,38,81
8,16,24,3,8,36
8,17,25,2,10,39
10,19.5,29.5,17,42,84
9.5,20,29.5,9,25,67
9,18,27,7,20,57
10,19.5,29.5,16,25,70
9.5,15.5,25,10,15,49
9,19,28,8,32,71
9,20,29,14,0,36
4.5,16,20.5,10,25,58
5,15.5,20.5,10,26,60
9,19.5,28.5,9,30,70
7.5,15.5,23,15,24,62
7.5,12,19.5,7,12,39
10,15,25,6,30,65
7,8.5,15.5,3,14,35
9.5,20,29.5,18,36,80
7.5,15.5,23,5,29,62
9.5,19,28.5,3,22,59
9.5,19.5,29,12,35,76
7,18,25,6,28,64
10,20,30,11,29,72
9.5,16,25.5,11,24,62
7,15.5,22.5,11,29,64
9.5,15.5,25,10,30,67
9,20,29,13,31,73
8.5,19,27.5,10,27,67
10,19,29,13,36,77
8.5,15.5,24,8,24,59
9,18,27,7,21,58
8.5,18,26.5,12,34,73
9,15,24,12,26,64
8,16.5,24.5,2,0,26
10,18,28,14,37,77
7,15,22,16,26,64
9,13.5,22.5,12,24,60
10,19.5,29.5,15,35,78
8,19,27,9,34,72
10,17.5,27.5,13,40,79
0,0,0,13,0,7
10,15.5,25.5,5,11,42
9,16.5,25.5,12,27,66
8.5,19.5,28,9,32,71
9,19,28,12,36,76
8.5,18.5,27,10,36,74
7,13.5,20.5,3,5,29
9.5,17.5,27,16,38,78
0.5,13,13.5,0,18,37
8.5,11,19.5,5,27,57
9.5,16.5,26,8,30,67
8.5,18,26.5,6,28,65
10,19.5,29.5,8,29,70
10,17.5,27.5,0,0,28
9.5,11,20.5,3,21,50
0,7.5,7.5,13,27,50
8,17.5,25.5,6,34,69
6,19,25,8,26,63
8.5,16.5,25,13,27,66
5.5,11.5,17,11,24,54
9,17.5,26.5,12,37,75
